Store,Dept,Date,Weekly_Sales
1,1,2010-02-05,24924.5
1,1,2010-02-12,46039.49
1,1,2010-02-19,41595.55
1,1,2010-02-26,19403.54
1,1,2010-03-05,21827.9
1,1,2010-03-12,21043.39
1,1,2010-03-19,22136.64
1,1,2010-03-26,26229.21
1,1,2010-04-02,57258.43
1,1,2010-04-09,42960.91
1,1,2010-04-16,17596.96
1,1,2010-04-23,16145.35
1,1,2010-04-30,16555.11
1,1,2010-05-07,17413.94
1,1,2010-05-14,18926.74
1,1,2010-05-21,14773.04
1,1,2010-05-28,15580.43
1,1,2010-06-04,17558.09
1,1,2010-06-11,16637.62
1,1,2010-06-18,16216.27
1,1,2010-06-25,16328.72
1,1,2010-07-02,16333.14
1,1,2010-07-09,17688.76
1,1,2010-07-16,17150.84
1,1,2010-07-23,15360.45
1,1,2010-07-30,15381.82
1,1,2010-08-06,17508.41
1,1,2010-08-13,15536.4
1,1,2010-08-20,15740.13
1,1,2010-08-27,15793.87
1,1,2010-09-03,16241.78
1,1,2010-09-10,18194.74
1,1,2010-09-17,19354.23
1,1,2010-09-24,18122.52
1,1,2010-10-01,20094.19
1,1,2010-10-08,23388.03
1,1,2010-10-15,26978.34
1,1,2010-10-22,25543.04
1,1,2010-10-29,38640.93
1,1,2010-11-05,34238.88
1,1,2010-11-12,19549.39
1,1,2010-11-19,19552.84
1,1,2010-11-26,18820.29
1,1,2010-12-03,22517.56
1,1,2010-12-10,31497.65
1,1,2010-12-17,44912.86
1,1,2010-12-24,55931.23
1,1,2010-12-31,19124.58
1,1,2011-01-07,15984.24
1,1,2011-01-14,17359.7
1,1,2011-01-21,17341.47
1,1,2011-01-28,18461.18
1,1,2011-02-04,21665.76
1,1,2011-02-11,37887.17
1,1,2011-02-18,46845.87
1,1,2011-02-25,19363.83
1,1,2011-03-04,20327.61
1,1,2011-03-11,21280.4
1,1,2011-03-18,20334.23
1,1,2011-03-25,20881.1
1,1,2011-04-01,20398.09
1,1,2011-04-08,23873.79
1,1,2011-04-15,28762.37
1,1,2011-04-22,50510.31
1,1,2011-04-29,41512.39
1,1,2011-05-06,20138.19
1,1,2011-05-13,17235.15
1,1,2011-05-20,15136.78
1,1,2011-05-27,15741.6
1,1,2011-06-03,16434.15
1,1,2011-06-10,15883.52
1,1,2011-06-17,14978.09
1,1,2011-06-24,15682.81
1,1,2011-07-01,15363.5
1,1,2011-07-08,16148.87
1,1,2011-07-15,15654.85
1,1,2011-07-22,15766.6
1,1,2011-07-29,15922.41
1,1,2011-08-05,15295.55
1,1,2011-08-12,14539.79
1,1,2011-08-19,14689.24
1,1,2011-08-26,14537.37
1,1,2011-09-02,15277.27
1,1,2011-09-09,17746.68
1,1,2011-09-16,18535.48
1,1,2011-09-23,17859.3
1,1,2011-09-30,18337.68
1,1,2011-10-07,20797.58
1,1,2011-10-14,23077.55
1,1,2011-10-21,23351.8
1,1,2011-10-28,31579.9
1,1,2011-11-04,39886.06
1,1,2011-11-11,18689.54
1,1,2011-11-18,19050.66
1,1,2011-11-25,20911.25
1,1,2011-12-02,25293.49
1,1,2011-12-09,33305.92
1,1,2011-12-16,45773.03
1,1,2011-12-23,46788.75
1,1,2011-12-30,23350.88
1,1,2012-01-06,16567.69
1,1,2012-01-13,16894.4
1,1,2012-01-20,18365.1
1,1,2012-01-27,18378.16
1,1,2012-02-03,23510.49
1,1,2012-02-10,36988.49
1,1,2012-02-17,54060.1
1,1,2012-02-24,20124.22
1,1,2012-03-02,20113.03
1,1,2012-03-09,21140.07
1,1,2012-03-16,22366.88
1,1,2012-03-23,22107.7
1,1,2012-03-30,28952.86
1,1,2012-04-06,57592.12
1,1,2012-04-13,34684.21
1,1,2012-04-20,16976.19
1,1,2012-04-27,16347.6
1,1,2012-05-04,17147.44
1,1,2012-05-11,18164.2
1,1,2012-05-18,18517.79
1,1,2012-05-25,16963.55
1,1,2012-06-01,16065.49
1,1,2012-06-08,17666
1,1,2012-06-15,17558.82
1,1,2012-06-22,16633.41
1,1,2012-06-29,15722.82
1,1,2012-07-06,17823.37
1,1,2012-07-13,16566.18
1,1,2012-07-20,16348.06
1,1,2012-07-27,15731.18
1,1,2012-08-03,16628.31
1,1,2012-08-10,16119.92
1,1,2012-08-17,17330.7
1,1,2012-08-24,16286.4
1,1,2012-08-31,16680.24
1,1,2012-09-07,18322.37
1,1,2012-09-14,19616.22
1,1,2012-09-21,19251.5
1,1,2012-09-28,18947.81
1,1,2012-10-05,21904.47
1,1,2012-10-12,22764.01
